Cleanup.ID,Zone,State,Country,Latitude,Longitude,Cleanup.Date,Group.Name,Adults,Children,People,Kilograms,Kilometers,N.bags,Cigarette.Butts,Food.Wrappers.candy.chips.etc.,Take.Out.Away.Containers.Plastic.,Take.Out.Away.Containers.Foam.,Bottle.Caps.Plastic.,Bottle.Caps.Metal.,Lids.Plastic.,Straws.Stirrers,Forks.Knives.Spoons,Beverage.Bottles.Plastic.,Beverage.Bottles.Glass.,Beverage.Cans,Grocery.Bags.Plastic.,Other.Plastic.Bags,Paper.Bags,Cups.Plates.Paper.,Cups.Plates.Plastic.,Cups.Plates.Foam.,Fishing.Buoys.Pots.Traps,Fishing.Net.Pieces,Fishing.Line.1.yard.meter.1.piece.,Rope.1.yard.meter.1.piece.,Fishing.Gear.Clean.Swell.,X6.Pack.Holders,Other.Plastic.Foam.Packaging,Other.Plastic.Bottles.oil.bleach.etc.,Strapping.Bands,Tobacco.Packaging.Wrap,Other.Packaging.Clean.Swell.,Beverages.Sachets,Appliances.refrigerators.washers.etc.,Balloons,Cigar.Tips,Cigarette.Lighters,Construction.Materials,Fireworks,Tires,Toys,Other.Trash.Clean.Swell.,E.cigarettes,Other.tobacco.packaging.lighter.etc.,Condoms,Diapers,Syringes,Tampons.Tampon.Applicators,Personal.Hygiene.Clean.Swell.,Gloves.Masks.PPE.,Foam.Pieces,Glass.Pieces,Plastic.Pieces,Total.Items.Collected,NewPlasticTotal,TotalFishing,totaltakeout,TotalSmoke,PlasticBags,year,month,day,DATE,distanceM,StdEffort,stdzdTotalPlastic,stdzdfish,stdzdtakeout,stdzdsmoke,stdzdbags
95967,"San Diego County, CA, USA","California, USA",United States,32.8043,-117.22144,10/24/19,,1,0,1,5.54,0,0,102,33,28,4,25,0,8,17,7,9,7,7,4,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,292,264,3,151,102,4,2019,10,24,10/24/19,1,1,264,3,151,102,4
76026,"San Diego County, CA, USA","California, USA",United States,32.76193,-117.2503,7/17/19,I am Green eco servicesc gno v,1,0,1,5.74,0,0,2,15,3,0,5,0,8,7,5,11,10,12,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,4,129,84,0,67,2,5,2019,7,17,7/17/19,1,1,84,0,67,2,5
40410,"San Diego County, CA, USA","California, USA",United States,32.76187,-117.25055,7/27/18,Green eco services,1,0,1,5.77,0,0,7,10,10,4,12,0,6,4,5,11,2,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,35,0,0,0,0,0,0,0,0,0,0,18,148,87,0,68,7,1,2018,7,27,7/27/18,1,1,87,0,68,7,1
34618,"San Diego County, CA, USA","California, USA",United States,32.81752,-117.25727,2/17/18,,1,0,1,5.92,0,0,4,21,11,4,12,0,9,19,16,15,2,22,5,0,0,0,21,0,0,0,0,0,2,0,0,0,0,0,10,0,0,5,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,61,271,159,2,133,4,5,2018,2,17,2/17/18,1,1,159,2,133,4,5
5091,"San Diego County, CA, USA","California, USA",United States,32.76333,-117.12096,9/17/16,Sugar,1,0,1,5.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,9,17,9/17/16,1,1,0,0,0,0,0
32083,"San Diego County, CA, USA","California, USA",United States,32.76873,-117.24983,1/8/18,,1,0,1,6.19,0,0,10,20,8,4,8,0,15,12,12,12,15,9,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,53,237,146,0,127,10,2,2018,1,8,1/8/18,1,1,146,0,127,10,2
32375,"San Diego County, CA, USA","California, USA",United States,32.76873,-117.24983,1/8/18,,1,0,1,6.19,0,0,10,20,8,4,8,0,15,12,12,12,15,9,2,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,0,0,53,237,146,0,127,10,2,2018,1,8,1/8/18,1,1,146,0,127,10,2
73286,"San Diego County, CA, USA","California, USA",United States,32.76192,-117.25031,5/17/19,I am Green eco servicesc gno v,1,0,1,6.4,0,0,53,29,9,1,5,0,7,6,9,13,6,12,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,0,7,17,0,0,0,0,0,0,1,0,0,0,2,222,185,0,95,53,0,2019,5,17,5/17/19,1,1,185,0,95,53,0
38623,"San Diego County, CA, USA","California, USA",United States,32.76198,-117.25039,6/11/18,Aaa,1,0,1,6.44,0,0,10,8,6,4,15,0,6,5,9,8,4,6,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,9,30,0,0,0,0,0,0,2,0,0,0,73,221,108,0,68,10,2,2018,6,11,6/11/18,1,1,108,0,68,10,2
77860,"San Diego County, CA, USA","California, USA",United States,32.76177,-117.25035,9/3/19,I am Green eco servicesc gno v,1,0,1,6.64,0,0,14,13,4,2,6,0,11,13,11,7,6,6,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,8,24,0,0,0,0,0,0,13,0,0,0,14,199,149,0,89,14,1,2019,9,3,9/3/19,1,1,149,0,89,14,1
77132,"San Diego County, CA, USA","California, USA",United States,32.76197,-117.25033,8/11/19,I am Green eco servicesc gno v,1,0,1,6.73,0,0,4,14,5,1,5,0,6,5,2,7,6,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,3,0,0,0,3,127,99,0,53,4,2,2019,8,11,8/11/19,1,1,99,0,53,4,2
145887,"San Diego County, CA, USA","California, USA",United States,32.7018805,-117.1175821,12/8/20,2,1,0,1,6.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,12,8,12/8/20,1,1,0,0,0,0,0
77820,"San Diego County, CA, USA","California, USA",United States,32.76207,-117.25059,9/2/19,I am Green eco servicesc gno v,1,0,1,6.86,0,0,4,10,7,1,2,0,9,12,4,26,12,12,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,5,22,0,0,0,0,0,0,2,0,0,0,10,160,104,0,81,4,2,2019,9,2,9/2/19,1,1,104,0,81,4,2
104090,"San Diego County, CA, USA","California, USA",United States,32.80444,-117.22138,1/8/20,,1,0,1,7.34,0,0,3,12,1,0,6,0,4,5,4,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,3,0,0,0,16,90,70,1,35,3,0,2020,1,8,1/8/20,1,1,70,1,35,3,0
34798,"San Diego County, CA, USA","California, USA",United States,32.8174,-117.25741,2/25/18,,1,0,1,7.5,0,0,12,42,12,7,16,0,20,20,23,14,7,13,13,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,15,0,0,2,0,0,0,0,0,5,24,0,0,0,0,0,0,2,0,0,0,92,370,234,1,197,12,13,2018,2,25,2/25/18,1,1,234,1,197,12,13
138746,"San Diego County, CA, USA","California, USA",United States,32.7018805,-117.1175821,10/7/20,,1,0,1,7.71,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,10,7,10/7/20,1,1,0,0,0,0,0
94097,"San Diego County, CA, USA","California, USA",United States,32.75955,-117.25195,10/5/19,I am Green eco servicesc gno v,1,0,1,7.91,0,0,20,24,4,6,2,0,2,0,2,19,15,19,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,7,11,0,0,0,0,0,0,2,0,0,0,118,274,111,0,76,20,9,2019,10,5,10/5/19,1,1,111,0,76,20,9
129758,"San Diego County, CA, USA","California, USA",United States,32.7805494,-117.2426259,9/13/20,San Diego Whale Watch,1,0,1,8.16,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,13,9/13/20,1,1,0,0,0,0,0
81026,"San Diego County, CA, USA","California, USA",United States,32.99145,-117.2731,9/21/19,I love a clean San Diego fletcher cove,1,0,1,8.86,0,0,30,10,5,0,12,0,4,20,3,0,0,7,2,0,0,0,3,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,101,232,123,30,59,30,2,2019,9,21,9/21/19,1,1,123,30,59,30,2
38921,"San Diego County, CA, USA","California, USA",United States,32.76192,-117.25032,6/20/18,Aaa,1,0,1,8.95,0,0,2,8,4,4,7,0,11,11,12,30,12,11,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,45,0,0,0,0,0,0,1,0,0,0,9,201,124,0,107,2,4,2018,6,20,6/20/18,1,1,124,0,107,2,4
152015,"San Diego County, CA, USA","California, USA",United States,32.70185,-117.11753,8/4/18, Big Brother Program ,1,0,1,9.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,8,4,8/4/18,1,1,0,0,0,0,0
146091,"San Diego County, CA, USA","California, USA",United States,32.68516,-117.1213,8/8/20,Big Brother Clean Up,1,0,1,9.19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,11,8,0,0,5,0,2020,8,8,8/8/20,1,1,8,0,0,5,0
75967,"San Diego County, CA, USA","California, USA",United States,32.74988,-117.16029,7/15/19,I am Green eco servicesc gno v,1,0,1,9.21,0,0,2,4,2,0,2,0,8,3,1,12,13,10,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,33,0,0,1,0,0,0,0,0,15,11,0,0,0,0,0,0,1,0,0,0,10,138,94,1,41,2,2,2019,7,15,7/15/19,1,1,94,1,41,2,2
94269,"San Diego County, CA, USA","California, USA",United States,32.80439,-117.22138,10/5/19,,1,0,1,10.03,0,0,18,29,11,13,63,0,37,28,9,18,11,9,14,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,68,0,0,0,0,0,0,4,0,0,0,55,430,287,0,234,18,14,2019,10,5,10/5/19,1,1,287,0,234,18,14
136439,"San Diego County, CA, USA","California, USA",United States,33.03351593,-117.2893829,9/27/20, Newcomers of San Dieguito,1,0,1,10.21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,9,27,9/27/20,1,1,0,0,0,0,0
145883,"San Diego County, CA, USA","California, USA",United States,32.7018805,-117.1175821,12/8/20,2,1,0,1,10.21,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,12,8,12/8/20,1,1,0,0,0,0,0
40598,"San Diego County, CA, USA","California, USA",United States,32.76197,-117.25035,7/31/18,Green eco services,1,0,1,10.54,0,0,11,15,10,11,9,0,4,4,7,33,8,13,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,18,42,0,0,0,0,0,0,3,0,0,0,22,234,149,0,110,11,4,2018,7,31,7/31/18,1,1,149,0,110,11,4
35806,"San Diego County, CA, USA","California, USA",United States,32.768,-117.2525,3/29/18,,1,0,1,10.55,0,0,2,10,5,13,4,0,4,8,7,29,15,13,3,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,3,0,0,0,8,189,133,2,110,2,3,2018,3,29,3/29/18,1,1,133,2,110,2,3
35808,"San Diego County, CA, USA","California, USA",United States,32.768,-117.2525,3/29/18,,1,0,1,10.55,0,0,2,10,5,13,4,0,4,8,7,29,15,13,3,0,0,0,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,3,0,0,0,8,189,133,2,110,2,3,2018,3,29,3/29/18,1,1,133,2,110,2,3
38852,"San Diego County, CA, USA","California, USA",United States,32.74138,-117.22971,6/18/18,Aaa,1,0,1,10.94,0,0,6,26,6,4,6,0,6,5,12,17,8,10,1,0,0,0,28,0,0,0,0,0,2,0,0,0,0,0,11,0,0,7,0,0,0,0,0,19,39,0,0,0,0,0,0,2,0,0,0,40,255,158,2,111,6,1,2018,6,18,6/18/18,1,1,158,2,111,6,1
39368,"San Diego County, CA, USA","California, USA",United States,32.76198,-117.25039,7/3/18,Aaa,1,0,1,10.94,0,0,4,8,2,10,8,0,9,5,7,25,8,20,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,20,42,0,0,0,0,0,0,0,0,0,0,14,220,136,0,92,4,8,2018,7,3,7/3/18,1,1,136,0,92,4,8
38808,"San Diego County, CA, USA","California, USA",United States,32.76193,-117.25055,6/16/18,Aaa,1,0,1,11.02,0,0,0,38,0,0,0,0,0,0,0,26,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,43,176,95,0,64,0,0,2018,6,16,6/16/18,1,1,95,0,64,0,0
38851,"San Diego County, CA, USA","California, USA",United States,32.76193,-117.25055,6/16/18,Aaa,1,0,1,11.02,0,0,0,38,0,0,0,0,0,0,0,26,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,0,43,176,95,0,64,0,0,2018,6,16,6/16/18,1,1,95,0,64,0,0
48145,"San Diego County, CA, USA","California, USA",United States,32.76197,-117.25035,9/16/18,Green eco servicesc,1,0,1,11.05,0,0,5,18,6,4,5,0,4,4,7,18,10,10,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,25,27,0,0,0,0,0,0,0,0,0,0,10,180,123,0,86,5,6,2018,9,16,9/16/18,1,1,123,0,86,5,6
