ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2015,"2015",0,"Total",63266,15614.999999999998,"Census Tract 164.01, San Diego County, CA","14000US06073016401"
2015,"2015",0,"Total",49741,10845,"Census Tract 164.02, San Diego County, CA","14000US06073016402"
2015,"2015",0,"Total",35429,9343,"Census Tract 165.02, San Diego County, CA","14000US06073016502"
2015,"2015",0,"Total",50266,13564,"Census Tract 165.03, San Diego County, CA","14000US06073016503"
2015,"2015",0,"Total",39041,6416,"Census Tract 165.04, San Diego County, CA","14000US06073016504"
2015,"2015",0,"Total",62951,7834,"Census Tract 166.05, San Diego County, CA","14000US06073016605"
2015,"2015",0,"Total",84545,12394,"Census Tract 166.06, San Diego County, CA","14000US06073016606"
2015,"2015",0,"Total",75236,9602,"Census Tract 166.07, San Diego County, CA","14000US06073016607"
2015,"2015",0,"Total",96389,11039,"Census Tract 166.08, San Diego County, CA","14000US06073016608"
2015,"2015",0,"Total",84190,3830.0000000000005,"Census Tract 166.09, San Diego County, CA","14000US06073016609"
2015,"2015",0,"Total",71324,14480,"Census Tract 166.10, San Diego County, CA","14000US06073016610"
2015,"2015",0,"Total",105581,10055,"Census Tract 166.12, San Diego County, CA","14000US06073016612"
2015,"2015",0,"Total",84722,7711,"Census Tract 166.13, San Diego County, CA","14000US06073016613"
2015,"2015",0,"Total",87315,10552,"Census Tract 166.14, San Diego County, CA","14000US06073016614"
2015,"2015",0,"Total",67434,15435.999999999998,"Census Tract 166.15, San Diego County, CA","14000US06073016615"
2015,"2015",0,"Total",56630,8817,"Census Tract 166.16, San Diego County, CA","14000US06073016616"
2015,"2015",0,"Total",42236,10613,"Census Tract 166.17, San Diego County, CA","14000US06073016617"
2015,"2015",0,"Total",77109,7507,"Census Tract 167.01, San Diego County, CA","14000US06073016701"
2015,"2015",0,"Total",56711,9473,"Census Tract 167.02, San Diego County, CA","14000US06073016702"
2015,"2015",0,"Total",64352,9985,"Census Tract 168.02, San Diego County, CA","14000US06073016802"
2015,"2015",0,"Total",50343,5833,"Census Tract 168.04, San Diego County, CA","14000US06073016804"
2015,"2015",0,"Total",41627,10719,"Census Tract 168.06, San Diego County, CA","14000US06073016806"
2015,"2015",0,"Total",62539,9217,"Census Tract 168.07, San Diego County, CA","14000US06073016807"
2015,"2015",0,"Total",77028,9260,"Census Tract 168.09, San Diego County, CA","14000US06073016809"
2015,"2015",0,"Total",84676,10672,"Census Tract 168.10, San Diego County, CA","14000US06073016810"
2015,"2015",0,"Total",61875,5936,"Census Tract 168.11, San Diego County, CA","14000US06073016811"
2015,"2015",0,"Total",83295,18172,"Census Tract 169.01, San Diego County, CA","14000US06073016901"
2015,"2015",0,"Total",85500,16989,"Census Tract 169.02, San Diego County, CA","14000US06073016902"
2015,"2015",0,"Total",105156,11140,"Census Tract 170.06, San Diego County, CA","14000US06073017006"
2015,"2015",0,"Total",81500,9486,"Census Tract 170.09, San Diego County, CA","14000US06073017009"
2015,"2015",0,"Total",111415,7293,"Census Tract 170.10, San Diego County, CA","14000US06073017010"
2015,"2015",0,"Total",43175,8277,"Census Tract 170.14, San Diego County, CA","14000US06073017014"
2015,"2015",0,"Total",85117,9606,"Census Tract 170.15, San Diego County, CA","14000US06073017015"
2015,"2015",0,"Total",60833,10144,"Census Tract 170.18, San Diego County, CA","14000US06073017018"
2015,"2015",0,"Total",67526,18383,"Census Tract 170.19, San Diego County, CA","14000US06073017019"
2015,"2015",0,"Total",124821,26531,"Census Tract 170.20, San Diego County, CA","14000US06073017020"
2015,"2015",0,"Total",129159,8380,"Census Tract 170.21, San Diego County, CA","14000US06073017021"
2015,"2015",0,"Total",80038,24234,"Census Tract 170.22, San Diego County, CA","14000US06073017022"
