Latitude,Longitude,year,T.Plastic,T.Takeout,T.Smoke,T.Fishing,T.bags,T.Dist.M,T.Adults,T.People,T.Kg,N.cleanupAttempts,T.StdEffort,stdzdTotalPlastic,stdzdtakeout,stdzdsmoke,stdzdBags,stdzdFish
32.6577,-117.0695,2020,372,171,200,0,54,801,1,1,18.14,1,802,0.463840399,0.2132169576,0.2493765586,0.06733167082,0
32.6578,-117.0685,2018,43,38,5,0,0,1041,3,3,0.75,1,3126,0.01375559821,0.01215611004,0.001599488164,0,0
32.6594,-116.9469,2020,63,48,9,0,9,1611,1,1,13.61,1,1612,0.03908188586,0.02977667494,0.005583126551,0.005583126551,0
32.6603,-117.0539,2017,863,596,250,2,29,3221,24,24,176.9,1,77328,0.01116025243,0.007707428098,0.003232981585,0.0003750258639,2.59E-05
32.6657,-117.1053,2016,47,44,0,0,6,41,1,1,0.89,1,42,1.119047619,1.047619048,0,0.1428571429,0
32.6668,-117.1051,2017,40,37,2,0,9,401,26,42,158.76,1,16884,0.002369106847,0.002191423833,0.0001184553423,0.0005330490405,0
32.6669,-117.1047,2016,387,334,51,0,26,401,15,30,131.54,1,12060,0.03208955224,0.02769485904,0.004228855721,0.002155887231,0
32.671,-117.0936,2020,206,98,91,0,23,1611,1,2,3.63,1,3224,0.06389578164,0.03039702233,0.02822580645,0.007133995037,0
32.6712,-117.0961,2020,191,83,91,0,23,2411,1,1,11.34,1,2412,0.07918739635,0.03441127695,0.03772802653,0.009535655058,0
32.6734,-117.025,2020,27,16,6,2,5,1611,2,3,9.53,1,4836,0.005583126551,0.003308519438,0.001240694789,0.001033912324,0.0004135649297
32.6757,-117.1597,2020,17,12,2,0,0,1,1,1,1.06,1,2,8.5,6,1,0,0
32.6769,-117.0187,2018,1575,1103,416,1,43,1611,51,51,1297.27,1,82212,0.01915778718,0.01341653287,0.005060088552,0.0005230379993,1.22E-05
32.68,-117.1806,2016,3526,2309,1016,37,119,3221,142,149,95.25,1,480078,0.007344639829,0.004809635101,0.002116322764,0.0002478763868,7.71E-05
32.6808,-117.1817,2016,157,79,70,0,3,1861,2,2,5.2,1,3724,0.04215896885,0.02121374866,0.01879699248,0.0008055853921,0
32.6829,-117.0511,2020,234,130,100,0,11,1531,1,1,9.07,1,1532,0.1527415144,0.08485639687,0.06527415144,0.007180156658,0
32.6832,-117.1845,2019,41,22,15,0,0,1,2,2,0.45,1,4,10.25,5.5,3.75,0,0
32.6833,-117.1833,2016,65,39,18,4,1,1511,1,1,3.04,1,1512,0.04298941799,0.02579365079,0.0119047619,0.0006613756614,0.002645502646
32.6834,-117.1226,2017,0,0,0,0,0,1,11,11,0.91,1,22,0,0,0,0,0
