latitude,longitude,year,N.cleanupAttempts,total_plastic,total_plasticbags,totalFishingLine,total_takeout,total_smoke
32.7483,-117.168,2019,3,3,0,0,2,1
32.7483,-117.1679,2018,2,2,0,0,2,0
32.7483,-117.1679,2019,5,5,0,0,0,5
32.7483,-117.1677,2019,2,2,0,0,2,0
32.7483,-117.1676,2019,3,3,0,0,2,1
32.7483,-117.1675,2019,11,12,2,0,9,1
32.7483,-117.1674,2019,7,8,0,0,0,8
32.7483,-117.1657,2018,1,1,0,0,0,1
32.7484,-117.253,2020,2,2,0,0,1,1
32.7484,-117.2529,2020,6,6,0,0,5,1
32.7484,-117.2526,2020,1,132,0,0,92,40
32.7484,-117.2515,2020,2,3,0,0,3,0
32.7484,-117.236,2020,1,1,0,0,1,0
32.7484,-117.1675,2019,5,5,0,0,5,0
32.7484,-117.1674,2018,4,4,0,0,3,0
32.7484,-117.1656,2018,2,2,0,0,1,1
32.7485,-117.253,2020,3,3,0,0,3,0
32.7485,-117.2529,2020,9,9,0,0,8,1
32.7485,-117.2515,2020,1,1,0,0,1,0
32.7485,-117.2408,2020,1,4,0,0,3,0
32.7485,-117.2372,2020,1,2,0,0,0,2
32.7485,-117.2359,2020,2,2,0,0,0,1
32.7485,-117.2358,2020,1,2,1,0,1,0
32.7485,-117.1675,2019,11,18,3,0,14,1
32.7485,-117.1674,2018,3,3,0,0,1,2
32.7485,-117.1674,2019,5,5,0,0,5,0
32.7485,-117.1662,2018,1,1,0,0,0,0
32.7485,-117.1661,2018,1,1,0,0,1,0
32.7485,-117.1657,2018,3,4,0,0,4,0
32.7485,-117.1656,2019,4,4,0,0,1,3
32.7486,-117.2532,2019,1,1,0,0,0,0
32.7486,-117.253,2020,12,12,0,0,10,2
32.7486,-117.2525,2020,1,22,14,0,8,0
32.7486,-117.2524,2020,2,23,0,0,19,0
32.7486,-117.1678,2018,3,3,0,0,1,2
32.7486,-117.1675,2019,2,2,0,0,1,1
32.7486,-117.1674,2018,3,3,0,0,3,0
32.7486,-117.1674,2019,8,8,0,0,4,4
32.7486,-117.1673,2018,5,5,0,0,1,2
32.7486,-117.1673,2019,11,11,0,0,6,4
32.7486,-117.1672,2018,4,5,0,0,5,0
32.7486,-117.1672,2019,11,11,2,0,8,1
32.7486,-117.1671,2018,4,7,0,0,4,3
32.7486,-117.1671,2019,15,19,0,0,8,11
32.7486,-117.167,2018,6,6,0,0,5,0
32.7486,-117.167,2019,8,14,0,0,11,2
32.7486,-117.1669,2018,8,13,0,0,13,0
32.7486,-117.1669,2019,4,5,0,0,4,1
32.7486,-117.1668,2018,3,5,0,0,4,1
32.7486,-117.1668,2019,9,15,1,0,14,0
32.7486,-117.1667,2018,8,9,0,0,3,6
32.7486,-117.1667,2019,4,8,0,0,7,1
32.7486,-117.1666,2019,2,3,0,0,3,0
